Class,Subclass,Compound,p value,Fold-change,regulation
GP,PC/PE,PC(O-40:5) / PC(P-40:4) / PC(34:0) /PE(42:5),0.010300,1.3,downregulated by low AGE diet
GP,PE,PE(37:0) / PE(O-38:0),0.010300,1.3,downregulated by low AGE diet
GP,Glycerophosphates ,PA(37:0),0.014300,206.6,downregulated by low AGE diet
GP,Glycerophosphates ,PA(33:3) ,0.016300,1.3,downregulated by low AGE diet
GP,PE,PE(38:2),0.016300,184.4,upregulated by low AGE diet
GP,PC/PE,PC(O-17:0) / PE(20:0),0.023600,362.7,downregulated by low AGE diet
GP,PE,PE(38:0),0.024700,500,upregulated by low AGE diet
GP,PS /PC,PS(38:0) / PC(39:6)/PE(42:6)/PC(P-34:2) /PC(O-34:3) / ,0.025100,1.2,downregulated by low AGE diet
GP,PC/PE,PC(36:1) / PE(39:1) / PC(O-34:1),0.034700,134.2,downregulated by low AGE diet
GP,PC/PE,PC(O-36:3) /PC(36:1)/PE(39:1)  ,0.034700,134.2,downregulated by low AGE diet
GP,PC,PC(20:3) ,0.037500,338.1,upregulated by low AGE diet
GP, CDP-glycerols ,CDP-DG(34:1),0.038900,34.2,downregulated by low AGE diet
GP,PC/PS ,PC(42:10 / PS(41:4),0.046800,35.3,upregulated by low AGE diet
GP,PC,PC(34:0)* ,0.049900,36,upregulated by low AGE diet
GP/SL ,Glycerophosphates /PhosphoSL,PA(O-37:2) / SM(d34:2) ,0.028600,1.8,downregulated by low AGE diet
GP/SL ,PC/GlycoSL,PC(42:5) / LacCer(d34:0),0.032400,37.5,downregulated by low AGE diet
Indoles and derivatives, Pyridoindoles,"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole ",0.038000,56,downregulated by low AGE diet
Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Rumexoside,0.024200,394.3,downregulated by low AGE diet
Organooxygen compounds ,Carbohydrates and carbohydrate conjugates ,N-Acetyl-b-glucosaminylamine,0.037600,38.5,upregulated by low AGE diet
Oxepanes,Oxepanes,"Limonene-1,2-epoxide",0.023400,378.2,downregulated by low AGE diet
SL,PhosphoSL,SM(d38:0),0.014500,106.2,downregulated by low AGE diet
SL,PhosphoSL,SM(d42:3) *,0.018700,293.7,upregulated by low AGE diet
SL ,GlycoSL,GlcCer(d36:2) ,0.025100,1.2,downregulated by low AGE diet
SL , Ceramides,Cer(d42:2),0.031900,147.1,downregulated by low AGE diet
SL , Ceramides,Cer(t42:0)  ,0.037300,72.5,downregulated by low AGE diet
Steroids and steroid derivatives,Steroidal glycosides ,Cortolone-3-glucuronide,0.034500,37.1,upregulated by low AGE diet
Steroids and steroid derivatives,Estrane steroids,Estrone,0.038100,35.9,downregulated by low AGE diet
